model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
text2cad,descriptive,json,0084/00844862,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0026/00268027,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0092/00925049,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0072/00725542,False,0,0,0.0,,1,,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0015/00150938,True,1,0,0.25,,4,4,0.3333333333333333,0.29166666666666663,,,,,,,,,,,,,,
text2cad,descriptive,json,0072/00726429,True,1,0,0.25,,3,3,0.2222222222222222,0.2361111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0065/00657969,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0031/00310774,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0061/00618813,True,1,0,0.25,,3,3,0.2222222222222222,0.2361111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0030/00307386,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0072/00724192,False,0,0,0.0,,1,,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0018/00189804,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0080/00807326,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0078/00789364,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0002/00029952,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0005/00051224,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0087/00873073,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0077/00779770,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0077/00778195,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
