model_id,task,metric,json,openscad,openscad_minus_json,per_format_denominator
doubao21,descriptive,qa_s,0.88,0.9375,0.057499999999999996,100
doubao21,descriptive,jsem_normalized,0.7711111111111112,0.7799999999999998,0.008888888888888613,100
doubao21,parametric,valid,0.99,1.0,0.010000000000000009,100
doubao21,parametric,judge,0.8633333333333333,0.91,0.046666666666666745,100
doubao21,parametric,qa_s,0.8475,0.885,0.03749999999999998,100
doubao21,parametric,qa_p,0.87125,0.9225,0.05125000000000002,100
doubao21,parametric,geometry,0.63958925,0.6529170833333333,0.013327833333333317,100
doubao21,parametric,topology,0.9762890533333334,0.9998956933333334,0.023606640000000012,100
glm53flash,descriptive,valid,0.98,0.97,-0.010000000000000009,100
glm53flash,descriptive,judge,0.8308333333333333,0.7911111111111111,-0.039722222222222214,100
glm53flash,descriptive,qa_s,0.905,0.87,-0.03500000000000003,100
glm53flash,descriptive,jsem_normalized,0.7566666666666666,0.7122222222222221,-0.04444444444444451,100
glm53flash,parametric,valid,0.98,0.99,0.010000000000000009,100
glm53flash,parametric,judge,0.8574999999999999,0.8866666666666667,0.029166666666666785,100
glm53flash,parametric,qa_s,0.8425,0.8475,0.0050000000000000044,100
glm53flash,parametric,qa_p,0.865,0.90625,0.04125000000000001,100
glm53flash,parametric,geometry,0.6119320833333333,0.6030890833333333,-0.008842999999999934,100
glm53flash,parametric,topology,0.9629565966666667,0.9898334066666666,0.026876809999999973,100
