model_id,model,effort,task,format,denominator,valid_n,valid,judge,qa_s,qa_p,qa_micro,jsem_filled_1_10,jsem_normalized,qa_s_correct,qa_p_correct,qa_s_total,qa_p_total,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured_n,iou_inapplicable_n,geometry,topology
claude_opus5,Claude Opus 5,max,parametric,json,100,100,1.0,0.8858333333333334,0.8675,0.895,0.8858333333333334,,,347,716,400,800,0.00123238,0.8767619999999999,0.6025157894736842,0.846708,0.402057,0.746352,0.97,1.0,0.9995063000000001,95,5,0.658679,0.9898354333333333
claude_opus5,Claude Opus 5,max,parametric,openscad,100,100,1.0,0.9375,0.945,0.93375,0.9375,,,378,747,400,800,0.00089374,0.910626,0.6525124999999999,0.884298,0.43211799999999995,0.774716,1.0,1.0,0.99918647,96,4,0.6934845833333334,0.9997288233333333
glm53_official,GLM-5.3,high,descriptive,json,100,100,1.0,0.8455555555555555,0.9,,,8.12,0.791111111111111,360,0,400,0,,,,,,,,,,,,,
glm53_official,GLM-5.3,high,descriptive,openscad,100,99,0.99,0.8591666666666666,0.935,,,8.05,0.7833333333333333,374,0,400,0,,,,,,,,,,,,,
glm53_official,GLM-5.3,high,parametric,json,100,100,1.0,0.87,0.86,0.875,0.87,,,344,700,400,800,0.00131738,0.868262,0.573629213483146,0.834858,0.38224400000000003,0.7333320000000001,0.97,1.0,0.9987591299999999,89,11,0.6424357500000001,0.9895863766666666
glm53_official,GLM-5.3,high,parametric,openscad,100,100,1.0,0.93,0.9325,0.92875,0.93,,,373,743,400,800,0.00102976,0.8970239999999999,0.6216244444444444,0.868052,0.397992,0.75592,1.0,1.0,0.99930236,90,10,0.6693346666666666,0.9997674533333333
deepseek_v41flash,DeepSeek V4.1 Flash,high,descriptive,json,100,100,1.0,0.8405555555555556,0.91,,,7.94,0.7711111111111112,364,0,400,0,,,,,,,,,,,,,
deepseek_v41flash,DeepSeek V4.1 Flash,high,descriptive,openscad,100,100,1.0,0.8841666666666668,0.975,,,8.14,0.7933333333333334,390,0,400,0,,,,,,,,,,,,,
deepseek_v41flash,DeepSeek V4.1 Flash,high,parametric,json,100,99,0.99,0.8641666666666666,0.82,0.88625,0.8641666666666666,,,328,709,400,800,0.0013639499999999998,0.8636050000000001,0.5879574468085107,0.8332970000000001,0.39803499999999997,0.7419450000000001,0.95,0.99,0.98815933,93,6,0.6493245000000001,0.9760531100000001
deepseek_v41flash,DeepSeek V4.1 Flash,high,parametric,openscad,100,99,0.99,0.9083333333333332,0.8875,0.91875,0.9083333333333333,,,355,735,400,800,0.00116781,0.883219,0.6096354166666667,0.855357,0.400548,0.747639,0.99,0.99,0.98856908,95,4,0.6612513333333334,0.9895230266666667
doubao21,Doubao Seed 2.1 Pro,Thinking,descriptive,json,100,99,0.99,0.8255555555555556,0.88,,,7.94,0.7711111111111112,352,0,400,0,,,,,,,,,,,,,
doubao21,Doubao Seed 2.1 Pro,Thinking,descriptive,openscad,100,100,1.0,0.8587499999999999,0.9375,,,8.02,0.7799999999999998,375,0,400,0,,,,,,,,,,,,,
doubao21,Doubao Seed 2.1 Pro,Thinking,parametric,json,100,99,0.99,0.8633333333333333,0.8475,0.87125,0.8633333333333333,,,339,697,400,800,0.0015229,0.84771,0.5722602272727273,0.821499,0.38851199999999997,0.7375440000000001,0.95,0.99,0.9888671600000001,87,12,0.63958925,0.9762890533333334
doubao21,Doubao Seed 2.1 Pro,Thinking,parametric,openscad,100,100,1.0,0.91,0.885,0.9225,0.91,,,354,738,400,800,0.00123423,0.876577,0.5931511111111111,0.851163,0.38795999999999997,0.747125,1.0,1.0,0.9996870800000001,90,10,0.6529170833333333,0.9998956933333334
glm53flash,GLM-5.3-Flash,high,descriptive,json,100,98,0.98,0.8308333333333333,0.905,,,7.81,0.7566666666666666,362,0,400,0,,,,,,,,,,,,,
glm53flash,GLM-5.3-Flash,high,descriptive,openscad,100,97,0.97,0.7911111111111111,0.87,,,7.41,0.7122222222222221,348,0,400,0,,,,,,,,,,,,,
glm53flash,GLM-5.3-Flash,high,parametric,json,100,98,0.98,0.8574999999999999,0.8425,0.865,0.8575,,,337,692,400,800,0.0015676299999999998,0.843237,0.5181482758620689,0.817233,0.35434699999999997,0.7114449999999999,0.93,0.98,0.97886979,85,13,0.6119320833333333,0.9629565966666667
glm53flash,GLM-5.3-Flash,high,parametric,openscad,100,99,0.99,0.8866666666666667,0.8475,0.90625,0.8866666666666667,,,339,725,400,800,0.00172992,0.827008,0.5425855555555555,0.8063710000000001,0.336114,0.706748,0.99,0.99,0.98950022,89,10,0.6030890833333333,0.9898334066666666
